symbol,allRank,allPoints,d_IndicatorPoints,d_Rank,d_adxPoints,d_allPoints,d_emaPoints,d_kstPoints,d_macdPoints,d_rsiPoints,d_volumePoints,hl_BreakoutPoints,m_IndicatorPoints,m_Rank,m_adxPoints,m_allPoints,m_emaPoints,m_kstPoints,m_macdPoints,m_rsiPoints,m_volumePoints,min75_IndicatorPoints,min75_Rank,min75_adxPoints,min75_allPoints,min75_emaPoints,min75_kstPoints,min75_macdPoints,min75_rsiPoints,min75_volumePoints,w_IndicatorPoints,w_Rank,w_adxPoints,w_allPoints,w_emaPoints,w_kstPoints,w_macdPoints,w_rsiPoints,w_volumePoints
ZFCVINDIA,464,-67,-66,160,-7,-76,-43,-3,-2,-6,-5,-10,81,155,20,71,57,-3,2,1,4,-82,158,-10,-92,-63,-3,-2,-6,2,10,156,-7,0,30,-3,-2,-5,-3
AFFLE,465,-69,-68,319,-11,-77,-59,2,3,-1,-2,-9,62,317,14,53,48,-3,0,-1,4,-48,316,-6,-57,-29,-3,-2,-5,-3,-6,316,-10,-15,13,-3,1,-3,-4
BRITANNIA,466,-70,-65,223,-8,-76,-43,-3,-2,-6,-3,-11,72,217,18,61,57,-3,2,0,-2,-85,221,-8,-96,-63,-3,-2,-6,-3,19,220,-9,8,43,-3,-2,-5,-5
HAPPYFORGE,467,-73,-2,83,-3,5,-15,2,2,6,6,7,-79,96,-13,-72,-59,-2,-2,-2,-1,77,71,16,84,43,2,2,8,6,-76,96,-13,-69,-63,-2,1,0,1
INDIAMART,468,-79,-77,500,-8,-79,-63,-3,1,-1,-3,-2,54,498,10,52,46,-3,0,-3,4,-9,495,10,-11,-25,2,2,2,0,-45,500,-7,-47,-25,-3,-2,-4,-4
TV18BRDCST,469,-79,-58,30,-11,-67,-41,2,1,-6,-3,-9,39,27,18,30,13,1,2,-1,6,-74,29,-3,-83,-63,-3,1,-4,-2,23,26,-8,14,34,-3,-2,-4,6
DALBHARAT,470,-85,-62,384,-3,-71,-59,2,1,-5,2,-9,60,377,14,51,47,-3,0,-2,4,-61,380,-10,-70,-35,-3,-2,-6,-5,-13,381,-12,-22,7,-3,1,-4,-2
CLEAN,471,-98,-22,253,8,-26,-39,2,3,4,0,-4,-75,255,-6,-79,-65,-3,1,-3,1,77,237,18,73,43,2,2,6,6,-74,255,-7,-78,-65,-3,1,-1,1
PGHH,472,-98,-63,159,-7,-72,-43,-3,-2,-5,-3,-9,69,157,18,60,53,-3,2,-1,0,-83,159,-7,-92,-63,-3,1,-7,-4,-12,158,-10,-21,9,-3,-2,-4,-2
BATAINDIA,473,-99,-49,254,-11,-40,-49,2,3,3,3,9,-12,254,-7,-3,7,-3,-2,-5,-2,43,243,17,52,11,2,2,6,5,-90,256,-15,-81,-65,-3,1,-4,-4
BLUEDART,474,-101,-32,444,-7,-35,-33,2,2,4,0,-3,7,444,-8,4,24,-3,-2,-4,0,-4,438,-7,-7,-3,2,3,4,-3,-69,448,-14,-72,-45,-3,1,-4,-4
MEDPLUS,475,-118,-20,474,-4,-17,-25,-2,2,4,5,3,-66,480,8,-63,-65,-2,-2,-3,-2,34,462,11,37,9,2,2,5,5,-69,479,-10,-66,-63,-2,4,1,1
ANURAS,476,-124,-83,320,-12,-85,-63,-3,-2,-6,3,-2,55,316,9,53,47,-3,0,-2,4,-73,319,-12,-75,-63,2,3,-1,-2,-21,317,-13,-23,3,-3,-2,-5,-1
CAMPUS,477,-132,-22,378,4,-21,-39,2,3,5,3,1,-76,383,-11,-75,-59,-2,1,-4,-1,40,365,12,41,17,-2,2,7,4,-75,383,-8,-74,-66,-2,1,0,0
ASIANPAINT,478,-138,-64,256,-10,-65,-59,2,3,0,0,-1,27,253,-3,26,38,-3,-2,-3,0,-56,255,-8,-57,-35,-3,-2,-5,-3,-44,253,-12,-45,-21,-3,1,-5,-4
IBULHSGFIN,479,-141,-47,446,-8,-46,-39,2,2,-4,0,1,-33,448,7,-32,-47,1,2,0,4,-58,443,-8,-57,-35,-3,-2,-6,-4,-4,441,13,-3,-10,-3,1,-3,-2
TTML,480,-141,-74,31,-11,-83,-61,2,1,-5,0,-9,60,25,15,51,46,-3,0,-3,5,-81,31,-12,-90,-55,-3,-2,-6,-3,-37,30,-10,-46,-25,-3,1,-4,4
LTIM,481,-145,-80,96,-15,-110,-61,2,4,-6,-4,-30,49,94,10,19,48,-3,0,-4,-2,-66,95,4,-96,-61,-3,-2,-5,1,-18,94,-10,-48,7,-3,-2,-6,-4
VAIBHAVGBL,482,-158,-54,288,-13,-63,-42,2,1,-6,4,-9,26,286,10,17,16,-3,2,-3,4,-90,288,-13,-99,-63,-3,1,-7,-5,-31,285,-10,-40,-15,-3,-2,-4,3
GLAND,483,-167,-37,379,-10,-42,-17,2,-2,-5,-5,-5,-47,382,4,-52,-60,2,3,0,4,-79,384,-13,-84,-63,-3,1,-2,1,1,378,14,-4,-1,-3,0,-4,-5
KRBL,484,-172,-64,479,-8,-69,-59,2,2,-1,0,-5,19,478,-7,14,28,-3,0,-3,4,-55,474,-13,-60,-29,-3,-2,-6,-2,-67,480,-12,-72,-45,-3,1,-5,-3
KANSAINER,485,-178,-55,29,-13,-57,-47,2,3,0,0,-2,-27,31,-8,-29,-13,-3,-2,-4,3,-8,26,-8,-10,3,-3,2,-3,1,-86,31,-13,-88,-65,-3,1,-3,-3
TATATECH,486,-185,-6,59,13,-5,-27,2,2,1,3,1,-78,64,-13,-77,-58,-2,-2,-2,-1,-26,58,-4,-25,-9,-3,-2,-5,-3,-76,64,-13,-75,-63,-2,1,1,0
BERGEPAINT,487,-188,-55,447,10,-55,-63,2,-2,-3,1,0,-5,445,-8,-5,8,-3,-2,-4,4,-78,445,-7,-78,-63,2,-2,-5,-3,-50,447,4,-50,-49,-3,1,-4,1
ATGL,488,-193,-61,64,-6,-70,-53,2,1,-5,0,-9,3,60,-15,-6,18,-3,4,-2,1,-88,64,-9,-97,-63,-3,-2,-7,-4,-38,62,16,-47,-48,-3,0,-1,-2
AWL,489,-197,-54,381,4,-53,-59,2,3,-4,0,1,-29,381,10,-28,-39,-2,1,-3,4,-56,376,-13,-55,-29,-3,-2,-4,-5,-59,382,8,-58,-70,2,1,0,0
PEL,490,-205,-56,127,-7,-59,-59,2,3,0,5,-3,-35,128,-7,-38,-21,-3,-2,-5,3,-31,120,-8,-34,-15,-3,0,-3,-2,-80,128,-10,-83,-65,-3,1,-4,1
RAJESHEXPO,491,-231,-60,318,-7,-65,-56,2,3,0,-2,-5,-58,320,-10,-63,-36,-3,1,-6,-4,-29,313,-12,-34,-5,-3,-2,-5,-2,-79,320,-15,-84,-68,2,4,0,-2
INDIGOPNTS,492,-233,-60,287,-8,-62,-55,2,3,0,-2,-2,-70,288,-8,-72,-65,2,1,-1,1,-22,285,4,-24,-29,-3,4,-1,3,-79,288,-6,-81,-65,-3,1,-4,-2
STARHEALTH,493,-251,-58,255,-13,-61,-45,1,2,-4,1,-3,-85,256,-15,-88,-65,-2,1,-1,-3,-31,253,-8,-34,-9,-3,-2,-5,-4,-74,254,-12,-77,-69,2,4,0,1
MANYAVAR,494,-251,-72,192,-10,-82,-62,2,1,-1,-2,-10,-31,192,-10,-41,-10,-2,-2,-5,-2,-66,189,-7,-76,-63,2,3,-1,0,-72,192,-13,-82,-45,-3,1,-7,-5
HINDUNILVR,495,-266,-81,415,-16,-93,-63,2,1,-5,0,-12,-6,415,-7,-18,14,-3,-2,-5,-3,-90,413,-11,-102,-63,-3,-2,-6,-5,-77,415,-12,-89,-49,-3,-2,-7,-4
NUVOCO,496,-280,-64,383,-10,-66,-59,2,3,0,0,-2,-81,384,-10,-83,-66,-3,-2,-3,3,-56,377,-7,-58,-35,-3,-2,-5,-4,-77,384,-6,-79,-65,-3,1,-5,1
ZEEL,497,-297,-58,158,-8,-60,-59,2,3,-1,5,-2,-88,160,-9,-90,-66,-3,-2,-6,-2,-58,157,-10,-60,-35,-3,-2,-6,-2,-91,160,-13,-93,-65,-3,1,-6,-5
DABUR,498,-300,-95,416,-16,-140,-63,-3,-2,-7,-4,-45,-5,416,-7,-50,14,-3,-2,-5,-2,-84,416,-15,-129,-63,1,1,-6,-2,-71,416,-7,-116,-49,-3,-2,-5,-5
BANDHANBNK,499,-336,-79,501,-16,-85,-62,2,1,-2,-2,-6,-90,501,-9,-96,-68,-3,-2,-6,-2,-76,500,-14,-82,-63,-2,4,-4,3,-85,501,-8,-91,-65,-3,1,-5,-5
RBA,500,-350,-89,32,-10,-105,-63,-3,-2,-6,-5,-16,-68,32,8,-84,-66,-3,-2,-6,1,-88,32,-15,-104,-63,-3,1,-7,-1,-89,32,-10,-105,-69,-3,-2,-6,1
PAYTM,501,-356,-75,224,-8,-84,-64,1,1,-5,0,-9,-92,224,-13,-101,-68,-2,-2,-5,-2,-92,223,-14,-101,-63,-3,1,-8,-5,-88,224,-16,-97,-65,-3,4,-6,-2
