date,symbol,rsi14,rsi3,ema21_of_rsi14,macd-22-10-7,macd-signal-22-10-7,hist-22-10-7,macd-11-5-3,macd-signal-11-5-3,obv,ema21_of_obv,mfi,kst,kst-1ago,kst-2ago,kst-signal,cloudtop,ema8,ema13,ema21,ema34,ema55,ema200,hull21,hull55,hull89,supertrend10-3,di-positive,di-negative,adx-14,high,low,close,open
8th Apr,BALKRISIND,48.46,76.02,48.66,-44.52,-45.19,0.664,-13.84,-29.69,122.49,124.03,52.37,-41.67,-39.71,-40.29,-31.10,2388.29,2356.21,2379.07,2407.04,2412.23,2380.54,2033.00,2234.38,2436.15,2574.06,2695.28,19.48,14.16,18.66,2472.30,2385.40,2393.05,2427.50
8th Apr,ITI,48.34,38.93,61.43,3.31,13.27,-9.96,-11.14,-11.36,2238.13,2177.54,61.66,633.33,726.74,774.68,783.07,186.11,275.63,281.34,276.85,257.17,226.99,151.65,261.13,346.06,328.36,248.25,23.43,24.11,41.45,278.30,261.40,262.80,277.20
8th Apr,SBICARD,48.32,72.94,40.81,-16.63,-19.88,3.24,-2.54,-6.98,-218.22,-218.88,34.20,-89.32,-97.33,-103.55,-94.68,830.44,719.66,725.02,736.57,753.00,772.10,811.45,697.86,700.03,736.83,783.80,19.23,21.75,29.86,756.95,722.45,737.65,742.50
8th Apr,FACT,48.31,47.00,60.47,-0.915,19.32,-20.23,-25.61,-28.22,626.86,608.65,61.27,281.42,325.61,367.32,382.15,465.14,695.77,711.09,706.91,666.86,589.94,319.80,652.29,839.58,851.83,870.38,23.24,21.85,39.72,711.70,665.70,676.95,704
8th Apr,GLAXO,48.28,12.28,63.05,51.80,106.24,-54.44,-50.85,-38.80,75.74,74.16,49.85,296.34,334.36,358.96,345.90,1465.70,1988.42,2000.22,1955.35,1859.03,1746.41,1550.14,1996.36,2224.95,2064.77,2372.88,24.04,21.43,37.02,1973.85,1872,1881.40,1942
8th Apr,LXCHEM,48.22,66.56,45.39,-7.05,-6.54,-0.504,-3.39,-5.50,414.01,397.92,55.45,-65.46,-64.38,-58.32,-50.32,284.73,253.09,256.76,261.18,265.59,272.18,277.35,239.99,261.38,266.53,289.39,16.68,22.68,18.83,266.35,247.05,259.20,257
8th Apr,RATNAMANI,48.17,51.79,54.84,-45.48,-9.80,-35.68,-59.21,-78.99,53.30,53.78,55.86,52.25,71.53,88.55,99.65,2548.16,2952.27,3002.58,3022.36,2959.01,2796.87,1976.56,2754.64,3322.73,3382.07,3573.46,25.41,14.99,41.48,3079.85,2920,2937.50,3079.80
8th Apr,TMB,48.09,61.05,47.36,-6.81,-7.05,0.236,-2.14,-4.29,8.10,8.13,44.18,-30.58,-27.92,-21.14,-14.86,521.55,486.38,489.78,494.10,494.91,492.08,488.44,474.36,499.28,0,537.48,18.87,19.15,18.33,504.10,488,490.30,500
8th Apr,SUVENPHAR,48.08,31.90,59.71,8.07,17.45,-9.38,-8.73,-6.16,78.26,72.02,63.64,164.55,190.41,205.40,200.05,537.59,652.84,655.91,648.47,626.87,596.32,478.75,644.52,716.68,692.23,609.68,19.96,18.64,26.60,656,609.30,625.60,651.10
8th Apr,ITC,48.04,76.84,48.75,-5.22,-5.62,0.393,-1.28,-2.76,25.92,25.76,49.53,-36.29,-36.30,-35.66,-32.68,445.82,426.67,429.12,432.49,432.39,422.08,339.60,411.22,430.83,455.94,458.10,21.43,20.14,22.15,437.80,425.55,430.10,428.30
8th Apr,CREDITACC,47.98,59.16,52.69,-22.83,-8.03,-14.79,-26.18,-35.18,50.28,49.74,34.51,25.51,36.59,48.47,63.63,1301.59,1470.33,1493.21,1503.98,1475.54,1397.99,1033.21,1381.24,1621.22,1701.90,1746.79,18.62,20.76,24.21,1526.70,1418.45,1471.40,1486.10
8th Apr,TECHM,47.92,26.40,54.27,6.58,17.44,-10.86,-11.95,-9.40,1984.85,1996.30,42.22,56.72,69.73,80.36,75.21,1199.88,1267.89,1272.07,1265.56,1245.96,1219.94,1100.24,1264.69,1314.77,1319.31,1147.07,19.92,13.25,23.71,1281,1238,1242.10,1270
8th Apr,GLAND,47.88,27.08,56.85,17.05,46.67,-29.62,-31.18,-26.86,15.05,29.22,15.37,169.28,202.06,232.69,227.78,1549.50,1805.24,1818.28,1800.39,1753.35,1743.75,2032.92,1776.54,1993.34,1906.59,1648.29,20.11,14.21,27.31,1879,1735,1749.65,1789.95
8th Apr,TATAELXSI,47.86,42.62,52.85,-33.40,-12.23,-21.17,-31.64,-47.63,1033.62,1032.99,42.70,21.22,28.43,31.83,36.43,7152.26,7818.50,7856.82,7870.27,7804.34,7658.11,5990.65,7570.05,8201.84,8244.61,8779.87,20.35,15.47,20.75,8133.85,7733,7753.75,8120.05
8th Apr,ALLCARGO,47.84,41.29,52.38,0.241,1.25,-1.01,-1.28,-1.15,1169.08,1082.12,53.86,80.02,89.63,91.71,94.05,79.20,75.45,75.96,75.61,74.74,73.53,59.65,75.06,79.28,74.87,93.56,23.77,21.86,19.41,78.40,71.35,72.80,78.40
8th Apr,NETWORK18,47.81,36.75,57.84,1.07,4.48,-3.41,-4.08,-3.86,980.53,908.14,82.84,311.78,344.28,387.91,385.77,69.65,94.08,95.84,94.43,89.83,83.93,66.85,91.37,111.00,102.31,84.16,20.28,16.43,32.43,95.35,88,89.25,92
8th Apr,GAEL,47.63,40.45,56.02,0.694,4.29,-3.60,-4.62,-4.12,982.90,976.45,60.44,167.88,195.51,213.22,214.48,151.98,175.95,178.06,176.85,171.10,161.85,120.19,176.46,197.46,192.63,147.22,24.93,19.73,23.61,181,167.85,168.30,180.10
8th Apr,KAYNES,47.47,21.54,64.83,89.32,153.73,-64.41,-52.44,-16.47,22.45,22.31,53.79,323.29,368.71,411.15,395.11,NaN,2734.04,2736.92,2665.40,2485.52,2200.71,1369.39,2846.92,3054.85,0,2346.10,23.20,24.22,36.96,2690,2448,2502.60,2660.55
8th Apr,IDEA,47.44,20.59,57.36,0.134,0.553,-0.419,-0.500,-0.445,8.16,8.95,44.54,311.93,366.62,418.33,410.08,9.63,13.73,13.95,13.77,13.05,12.04,13.27,13.55,16.27,15.66,12.08,21.51,19.36,32.99,13.90,12.20,12.95,13.90
8th Apr,TIMKEN,47.33,65.54,45.39,-73.20,-77.68,4.49,-19.99,-43.05,131.90,131.44,56.85,-71.28,-73.42,-76.89,-68.45,3201.50,2894.48,2927.01,2974.69,3017.47,3015.31,2392.36,2695.99,2920.23,3032.05,3181.00,18.59,23.53,21.13,2993.65,2841.80,2940.10,2976.50
8th Apr,FINEORG,47.19,69.85,43.92,-105.46,-104.78,-0.684,-42.65,-72.25,17.88,17.93,23.06,-63.27,-62.10,-63.59,-58.03,5680.57,4273.32,4322.12,4390.32,4477.59,4570.25,4001.75,4075.61,4311.66,4322.62,4689.00,23.28,22.48,14.71,4458,4276,4348.10,4397
8th Apr,GRINDWELL,47.00,62.82,48.36,-48.82,-33.50,-15.32,-39.25,-53.54,39.59,39.53,32.56,-39.35,-38.92,-35.34,-23.99,2155.85,2050.35,2083.45,2111.80,2120.45,2095.46,1665.86,1939.83,2148.03,2220.19,2331.38,17.79,20.87,16.77,2096.45,2044.05,2070.80,2067.75
8th Apr,JKPAPER,46.93,67.39,47.73,-10.58,-6.37,-4.21,-9.87,-12.73,704.17,706.51,53.01,-23.05,-14.87,-2.09,7.19,379.80,357.00,364.68,370.66,373.05,370.63,298.04,335.99,386.15,381.87,393.21,26.61,25.76,21.34,371,353.40,362.70,354.95
8th Apr,STARHEALTH,46.86,45.66,46.60,-5.30,-6.19,0.890,-1.49,-1.79,37.58,36.85,47.53,-49.50,-46.98,-52.04,-49.68,609.90,553.59,555.16,558.91,565.70,579.27,694.83,552.72,540.63,559.25,627.67,14.36,26.34,21.95,574.40,548.65,550.70,565.65
8th Apr,AWL,46.81,49.71,45.61,-4.63,-3.23,-1.40,-4.36,-4.56,558.77,567.41,56.61,-10.69,-13.49,-24.48,-16.88,528.63,347.87,350.34,353.24,362.89,384.62,426.67,345.76,345.95,311.31,305.96,26.24,23.80,13.33,366.70,344.10,345.05,363
8th Apr,INDIACEM,46.70,62.14,49.10,-5.44,-2.96,-2.48,-5.35,-6.91,1822.81,1822.41,49.56,-11.03,-2.63,6.11,17.49,232.95,224.05,228.32,231.28,231.03,227.50,196.72,210.36,241.28,246.68,263.83,20.78,24.00,15.16,232.85,224.05,224.60,227.50
8th Apr,IBULHSGFIN,46.68,44.59,53.25,-2.78,0.581,-3.36,-5.44,-6.08,1809.61,1893.66,45.05,88.77,119.52,149.57,158.05,165.89,179.13,182.88,183.89,179.34,171.38,230.19,168.79,203.99,210.17,161.44,21.51,16.89,20.79,183.65,173.50,174.35,183.20
8th Apr,AUBANK,46.67,83.32,42.25,-32.62,-35.10,2.49,-8.81,-18.47,100.28,94.23,36.50,-141.98,-146.30,-148.24,-131.73,719.45,611.06,625.28,646.63,665.01,671.79,595.63,540.62,630.05,690.00,674.65,21.06,26.29,27.87,645.50,625.80,638.75,637.20
8th Apr,ERIS,46.62,35.26,55.76,-3.14,5.15,-8.29,-12.23,-12.20,44.74,43.52,58.52,45.41,58.85,73.44,75.83,810.99,860.03,867.58,867.69,851.50,820.31,715.79,847.54,921.56,949.70,778.98,17.56,16.48,21.40,861.50,839,847.35,852
8th Apr,RENUKA,46.61,65.09,45.18,-1.49,-1.24,-0.249,-0.987,-1.29,5498.22,5501.36,67.98,-75.11,-67.86,-60.65,-55.58,52.50,44.06,44.90,45.82,46.60,46.90,38.07,42.58,45.82,47.18,51.74,25.87,23.91,12.18,47.30,42.30,44.80,44
8th Apr,KIMS,46.47,18.57,59.78,23.20,47.73,-24.53,-24.97,-15.05,24.09,23.37,54.44,81.50,98.39,111.13,104.62,1940.24,2055.14,2060.21,2040.44,1985.83,1890.15,1505.00,2097.26,2138.98,2192.18,1881.72,17.08,20.33,31.15,2068,1970,1977.95,2059.95
8th Apr,BALRAMCHIN,46.41,53.91,46.13,-9.06,-9.80,0.735,-2.74,-4.57,1342.75,1347.15,48.73,-75.36,-66.07,-69.98,-64.91,419.39,376.34,380.20,386.18,391.09,392.00,335.12,364.28,382.15,402.01,435.99,20.17,21.63,15.50,396,377.05,377.80,390.90
8th Apr,DEEPAKFERT,46.40,68.43,43.01,-26.22,-28.03,1.82,-7.17,-14.98,496.43,488.28,55.05,-112.90,-113.32,-112.69,-98.00,787.20,533.70,545.33,562.36,579.84,595.16,512.50,474.36,561.03,569.21,611.00,26.71,26.48,17.87,575,538,551.15,565
8th Apr,PRINCEPIPE,46.40,71.21,44.67,-27.61,-26.49,-1.12,-11.78,-19.86,92.80,91.76,34.44,-111.80,-108.44,-103.33,-88.89,683.76,594.50,608.69,626.09,637.61,639.35,547.68,533.51,627.52,677.64,674.92,23.74,24.51,23.25,626.70,605.05,611.90,618
8th Apr,ALKYLAMINE,46.38,66.53,42.20,-86.06,-76.55,-9.51,-48.48,-69.48,34.16,32.62,58.12,-95.69,-96.91,-99.16,-85.74,2605.28,2078.33,2123.09,2177.33,2243.38,2335.03,2306.85,1936.12,2133.83,2150.80,2283.37,26.31,25.50,13.93,2186,2067.05,2131.45,2119.90
